origin,genotype,treatment,comment,method,phyllo,plasto
Warrington,DeKalbXL45,NA,ridge apical dome,digitized,4.72,17.88337648
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,-0.72,6.025099397
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,0.15,6.971025311
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,0.46,7.020737047
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,-0.35,7.022854692
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,0.44,7.915998285
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,1,7.99157177
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,0.02,8.020609988
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,1.86,8.98816236
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,0.56,9.044332915
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,0.9,9.501770881
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,1.49,9.966514726
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,1.77,10.93851415
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,2.17,10.95992885
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,1.3,10.9857906
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,2.44,11.93626945
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,1.81,11.98269883
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,2.39,12.52661616
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,3.07,12.90710417
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,3.39,13.90602417
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,3.05,13.97513884
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,4.02,14.90388535
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,3.79,14.97067061
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,3.5,14.98168236
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,4.68,15.87461419
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,3.41,15.97297884
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,5.31,16.41302564
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,4.64,16.49071677
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,5.57,16.90577535
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,4.67,16.91128123
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,6,16.92419887
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,4.32,16.96745178
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,5.47,17.43336033
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,6.03,17.87597478
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,6.95,17.92100122
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,5.05,17.9359571
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,6.04,17.99869235
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,6.81,18.46579208
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,7.36,18.92195946
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,7.36,18.93943004
Zur,PioneerHybrid3377,NA,"ridge apical dome, microscope'",digitized,8.04,19.97186178
